id,tipo,titulo,país,data_adicionado,ano_lancamento,classificacao,duracao,genero,aplicativo
s1,Filme,A Grande Sedução,Canada,2021-03-30,2014,Nao avaliado,113 min,"Comedia, Drama",Amazon
s2,Filme,Cuide da boa noite,India,2021-03-30,2018,13+,110 min,"Drama, Internacional",Amazon
s3,Filme,Segredos da Decepção,Estados Unidos,2021-03-30,2017,Nao avaliado,74 min,"Acao, Drama, Suspense",Amazon
s4,Filme,Rosa: Mantendo-se Verdadeiro,Estados Unidos,2021-03-30,2014,Nao avaliado,69 min,Documentario,Amazon
s5,Filme,Criador de Monstros,Reino Unido,2021-03-30,1989,Nao avaliado,45 min,"Drama, Fantasia",Amazon
s6,Filme,Living With Dinosaurs,Reino Unido,2021-03-30,1989,Nao avaliado,52 min,"Fantasia, Infantil",Amazon
s7,Filme,Hired Gun,Estados Unidos,2021-03-30,2017,Nao avaliado,98 min,"Documentario, Conteudo Especial",Amazon
s8,Filme,Grease Live!,Estados Unidos,2021-03-30,2016,Nao avaliado,131 min,Comedia,Amazon
s9,Filme,Global Meltdown,Canada,2021-03-30,2017,Nao avaliado,87 min,"Acao, Ficcao Cientifica, Suspense",Amazon
s10,Filme,David's Mother,Estados Unidos,2021-04-01,1994,Nao avaliado,92 min,Drama,Amazon
s11,Filme,Forest Fairies,Canada,2021-04-04,2016,Nao avaliado,88 min,"Aventura, Infantil",Amazon
s12,Filme,Take Care,Estados Unidos,2021-04-10,2014,Nao avaliado,93 min,Comedia,Amazon
s13,Filme,The Night Eats The World,Franca,2021-04-17,2018,Nao avaliado,94 min,"Terror, Suspense",Amazon
s14,Filme,Resilencia,Espanha,2021-04-24,2020,Nao avaliado,46 min,"Documentario, Esporte",Amazon
s15,Filme,Elon Musk: The Real Life Iron Man,Reino Unido,2021-05-02,2018,Nao avaliado,74 min,Documentario,Amazon
s16,Filme,Summer '03,Estados Unidos,2021-06-03,2019,Nao avaliado,96 min,"Comedia, Drama",Amazon
s17,Filme,Zoombies,Nao Declarado,,2016,13+,87 min,"Terror, Ficcao Cientifica",Amazon
s18,Serie,Zoo Babies,Nao Declarado,,2008,Livre,1 Temporada,"Infantil, Conteudo Especial",Amazon
s19,Serie,Zoë Coombs Marr: Bossy Bottom,Nao Declarado,,2020,18+,1 Temporada,"Comedia, Entrevista e variedade",Amazon
s20,Filme,Zoe,Nao Declarado,,2018,Restrito,104 min,Ficcao Cientifica,Amazon
s21,Serie,Zoboomafoo,Nao Declarado,,2001,Infantil,1 Temporada,Infantil,Amazon
s22,Serie,Zo Zo Zombie: Mini-Series,Nao Declarado,,2020,7+,1 Temporada,"Acao, Anime, Comedia",Amazon
